iata,icao,name,city,country,lat,lon
CYC,BZ-CYC,Caye Chapel Airport,Caye Chapel,BZ,17.683792,-88.044985
CZH,BZ-CZH,Corozal Airport,Corozal,BZ,18.382200,-88.411903
DGA,BZ-DGA,Dangriga Airport,Dangriga,BZ,16.982510,-88.230988
SJX,BZ-SJX,Sartaneja Airport,Sartaneja,BZ,18.356100,-88.130798
SPR,BZ-SPR,John Greif II Airport,San Pedro,BZ,17.913900,-87.971100
TZA,BZ-TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ,17.517239,-88.195775
BZB,BZB,Bazaruto Island Airport,Bazaruto Island,MZ,-21.541100,35.472900
YAA,CAJ4,Anahim Lake Airport,Anahim Lake,CA,52.451501,-125.303776
XQU,CAT4,Qualicum Beach Airport,Qualicum Beach,CA,49.337456,-124.393086
YZA,CAZ5,Cache Creek-Ashcroft Regional Airport,Cache Creek,CA,50.775258,-121.321314
ZEL,CBBC,Bella Bella (Campbell Island) Airport,Bella Bella,CA,52.185001,-128.156994
,CN-0003,Laohutun Air Base,Dalian (Wafangdian),CN,39.669998,121.765999
,CN-0004,Pulandian Air Base,Dalian (Pulandian),CN,39.450901,122.017998
,CN-0006,Beijing Shahezhen Air Base,Beijing,CN,40.149166,116.321388
,CN-0007,Beijing Tongxian Air Base,Beijing,CN,39.811111,116.708336
,CN-0013,Fengning Air Base,,CN,41.260799,116.617996
,CN-0014,Hohhot Bikeqi Air Base,Hohhot,CN,40.737015,111.229749
,CN-0015,Huairen Air Base,Shuozhou,CN,39.717499,113.142998
,CN-0016,Liangxiangzhen Air Base,Beijing,CN,39.757801,116.125999
,CN-0018,Tangguantun Air Base,Jinghai,CN,38.781101,117.068001
,CN-0020,Wenshui Air Base,Lüliang,CN,37.407799,111.966003
,CN-0021,Yangcun Air Base,,CN,39.373299,117.095001
,CN-0022,Yongning Air Base,Yongning,CN,40.503101,116.108002
,CN-0025,Tangshan Zunhua Air Base,Tangshan,CN,40.102501,117.887001
,CN-0026,Chengdu Huangtianba Air Base,Chengdu (Qingyang),CN,30.705299,103.949997
,CN-0030,Chongqing Baishiyi Air Base,Chongqing,CN,29.495300,106.359001
,CN-0041,Luliang Air Base,Qujing (Luliang),CN,24.988192,103.642833
,CN-0043,Honghe Mengzi Airport / Mengzi Air Base,Honghe,CN,23.395300,103.334000
,CN-0045,Qionglai Air Base,Chengdu (Qionglai),CN,30.490990,103.466139
,CN-0048,Wenshan Air Base,,CN,23.715599,103.827003
,CN-0049,Xiangyun Midu Air Base,Dali (Xiangyun),CN,25.445299,100.735001
,CN-0053,Baihe Ningming Air Base,Ningming,CN,22.120481,107.125046
,CN-0055,Changsha Datuopu Airport / Changsha Air Base,Changsha (Tianxin),CN,28.068522,112.957306
,CN-0056,Dangyang Air Base,Yichang (Dangyang),CN,30.798599,111.809998
,CN-0057,Foluo Northeast Air Base,Ledong (Da'anzhen),CN,18.692200,109.161003
BZX,CN-0062,Bazhong Enyang Airport,Bazhong,CN,31.738420,106.644872
,CN-0063,Guiping Mengxu Air Base,Guiping (Guigang),CN,23.330799,110.009003
,CN-0069,Jialaishi Air Base,Lingao (Jialai),CN,19.697201,109.725998
,CN-0071,Leiyang Air Base,,CN,26.587200,112.891998
,CN-0072,Lingshui Air Base,Lingshui (Huayuan),CN,18.494400,109.987999
,CN-0074,Shangqiu Air Base,Shangqiu,CN,34.449507,115.459261
,CN-0076,Zhengzhou Air Base,Zhengzhou,CN,34.861250,113.729631
HSC,CN-0079,Shaoguan Danxia Airport,Shaoguan,CN,24.978600,113.420998
,CN-0080,Suixi Air Base,Zhanjiang (Suixi),CN,21.395800,110.199997
JGS,CN-0081,Jinggangshan Airport,Ji'an,CN,26.856899,114.737000
,CN-0083,Guodu Air Base,"Xintai, Tai'an",CN,36.000428,117.625833
,CN-0085,Xiaogan Air Base,Xiaogan (Xiaonan),CN,30.953590,113.911774
,CN-0090,Cangxian Air Base,Cangzhou,CN,38.403025,116.930924
,CN-0092,Jiaozhou Jiaocheng Air Base,Qingdao (Jiaozhou),CN,36.331163,120.025538
,CN-0094,Jiugucheng Air Base,Hengshui,CN,37.491153,116.116726
,CN-0095,Kaifeng Air Base,Kaifeng,CN,34.753899,114.338997
,CN-0096,Laiyang Air Base,Yantai,CN,36.963600,120.591003
,CN-0097,Luyang Air Base,Xuchang (Pingdingshan),CN,33.685434,112.890530
,CN-0106,Xuzhou Daguozhang Air Base,Xuzhou,CN,34.229285,117.245665
,CN-0111,Zhucheng Air Base,Weifang (Zhucheng),CN,36.027468,119.437780
,CN-0114,Baoji Air Base,Baoji (Fengxiang),CN,34.531250,107.470679
HNG,CN-0117,Hainanzhou Gonghe Airport,Hainan (Gonghe),CN,36.336700,100.480003
,CN-0121,Huangdicun Naval Air Base,Huludao,CN,40.499790,120.659295
,CN-0123,Lanzhou Air Base,Lanzhou (Yuzhong),CN,35.917801,104.218002
,CN-0125,Lintao Air Base,Dingxi (Lintao),CN,35.308300,103.835999
,CN-0127,Qingshui Air Base,Jiuquan (Suzhou),CN,39.554699,98.884201
,CN-0132,Ürümqi South Air Base,Ürümqi,CN,43.466593,87.531177
,CN-0133,Malan Air Base,"Hoxud, Bayingolin",CN,42.180621,87.186784
,CN-0134,Wugong Air Base,Xianyang (Wugong),CN,34.275907,108.265800
,CN-0135,Ürümqi Changji Air Base,Ashilixiang,CN,43.951175,87.079232
,CN-0136,Wuwei Air Base,Wuwei,CN,37.988300,102.567001
,CN-0137,Xi'an Air Base,Xi'an (Huyi),CN,34.153059,108.599739
,CN-0138,Xincheng Air Base,Ganzhou,CN,25.548300,114.619003
,CN-0139,Yaerbashi Test Range,"Yizhou, Hami",CN,43.077202,92.808098
,CN-0140,Yanliang Air Base,Xi'an (Yanliang),CN,34.642248,109.241867
,CN-0146,Daishan Air Base,Zhoushan,CN,30.287581,122.144401
,CN-0147,Feidong Air Base,Hefei,CN,31.909401,117.658997
,CN-0149,Fuzhou Air Base,Fuzhou (Cangshan),CN,26.003857,119.312832
,CN-0152,Huian Air Base,Quanzhou (Huian),CN,25.026100,118.806999
,CN-0153,Hangzhou Jianqiao Airport,Hangzhou,CN,30.335300,120.240997
JNH,CN-0154,Jiaxing Nanhu Airport,"Xiuzhou, Hangzhou",CN,30.698056,120.663056
,CN-0158,Longtian Air Base,Fuzhou (Fuqing),CN,25.572800,119.459999
,CN-0163,Nanchang Xiangtang Air Base,Nanchang,CN,28.421205,115.923375
,CN-0165,Ningbo Zhuangqiao Air Base,Ningbo,CN,29.922800,121.573997
,CN-0169,Shanghai Dachang Air Base,Shanghai (Baoshan),CN,31.324438,121.409508
WHN,CN-0178,Wuhan Hannan Municipal Airport,Wuhan (Hannan),CN,30.255210,114.062805
,CN-0182,Zhangshu Air Base,Yichun,CN,28.023283,115.549649
,CN-0185,Changchun Air Base,Changchun,CN,43.906591,125.197005
,CN-0188,Beijing Nanjiao Airport,Beijing,CN,39.482845,116.372295
,CN-0190,Dingxin-Shuangchengzi Air Base,Jiuquan (Jinta),CN,40.401402,99.789398
,CN-0191,Fuxin Air Base,"Xihe, Fuxin",CN,42.078899,121.662003
,CN-0192,Gongzhuling Air Base,Siping,CN,43.526293,124.784660
,CN-0197,Kaiyuan Air Base,"Qinghe, Tieling",CN,42.525934,123.984683
,CN-0198,Lalin Air Base,Harbin,CN,45.259457,126.893536
,CN-0201,Pingquan Air Base,Chengde,CN,40.900409,118.677878
,CN-0204,Shenyang Beiling Air Base,"Huanggu, Shenyang",CN,41.870800,123.439003
,CN-0206,Shenyang Yuhong Quansheng Airport,"Yuhong, Shenyang",CN,41.822498,123.299004
,CN-0208,Siping Air Base,Siping,CN,43.156898,124.292000
,CN-0209,Suizhong Air Base,Huludao (Suizhong),CN,40.298992,120.361520
,CN-0210,Tuchengzi Air Base,Dalian (Lüshunkou),CN,38.912201,121.238998
DDR,CN-0236,Shigatse Tingri Airport,Xigazê (Dingri),CN,28.604567,86.798000
HQL,CN-0237,Tashikuergan Hongqilafu Airport,Tashikuergan,CN,37.661333,75.288877
JDE,CN-0253,Jiande Qiandaohu General Airport,Hangzhou,CN,29.360905,119.180829
,CN-0290,Sanya Air Base,Sanya (Tianya),CN,18.287540,109.463720
,CN-0316,Chenghu General Airport,Suzhou,CN,31.215334,120.789328
,CN-0321,Anji Tianzihu General Airport,Anji,CN,30.797725,119.590287
,CN-0331,Jiuzhou Airport,Jiuzhou,CN,26.998259,107.759571
,CN-0344,Paozhuwan Air Base,Wuhan (Xinzhou),CN,30.673944,114.630890
,CN-0345,Shanpo Air Base,Wuhan,CN,30.087612,114.313660
APJ,CN-0354,Ali Pulan Airport,Burang Town,CN,30.397898,81.133170
,CN-0396,Shaodong Airport,Shaoyang (Shaodong),CN,27.223500,111.674100
,CN-0401,Ningxiang Airport,,CN,27.987589,112.604971
,CN-0418,Hohhot Shengle International Airport (under construction),Hohhot,CN,40.480965,111.575174
ZAT,CN-0421,Zhaotong Zhaoyang Airport （Not fully opened),Zhaotong,CN,27.205843,103.691511
BFY,CN-0476,Bengbu Tenghu Airport,Bengbu,CN,33.166292,117.058344
,CN-0481,[Duplicate] Beijing Xijiao Airport,Beijing,CN,39.958592,116.256765
,CN-0501,Hancheng Heyang Airport,Zhiyang Town,CN,35.329133,110.382900
,CN-JNZ,Sanshilipu Air Base,Dalian (Jinzhou),CN,39.289671,121.762195
,CNC3,Brampton-Caledon Airport,,CA,43.760300,-79.875000
,CU-0115,[Duplicate] Holguín Air Base,Holguin,CU,20.786418,-76.318513
YAG,CYAG,Fort Frances Municipal Airport,Fort Frances,CA,48.655749,-93.443490
YAH,CYAH,La Grande-4 Airport,La Grande-4,CA,53.754700,-73.675301
YAM,CYAM,Sault Ste Marie Airport,Sault Ste Marie,CA,46.483216,-84.508467
XKS,CYAQ,Kasabonika Airport,Kasabonika,CA,53.524700,-88.642799
,CYAV,Winnipeg / St. Andrews Airport,Winnipeg/Saint Andrews,CA,50.056400,-97.032501
,CYAX,Lac du Bonnet Airport,Lac du Bonnet,CA,50.294399,-96.010002
YAY,CYAY,St. Anthony Airport,St. Anthony,CA,51.391909,-56.083210
YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,CA,49.079833,-125.775583
YBC,CYBC,Baie-Comeau Airport,Baie-Comeau,CA,49.132500,-68.204399
QBC,CYBD,Bella Coola Airport,Bella Coola,CA,52.387501,-126.596001
YBY,CYBF,Bonnyville Airport,Bonnyville,CA,54.304199,-110.744003
YBG,CYBG,Saguenay-Bagotville Airport,Saguenay,CA,48.330123,-70.992012
YBK,CYBK,Baker Lake Airport,Baker Lake,CA,64.298897,-96.077797
YBL,CYBL,Campbell River Airport,Campbell River,CA,49.950802,-125.271004
YBR,CYBR,Brandon Municipal Airport,Brandon,CA,49.910000,-99.951897
,CYBU,Nipawin Airport,Nipawin,CA,53.332500,-104.008003
,CYBW,Calgary / Springbank Airport,Calgary,CA,51.103982,-114.369378
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA,51.443600,-57.185299
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,CA,69.108101,-105.138000
YCC,CYCC,Cornwall Regional Airport,Cornwall,CA,45.092637,-74.567724
YCD,CYCD,Nanaimo Airport,Nanaimo,CA,49.054970,-123.869863
YCE,CYCE,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA,43.285599,-81.508301
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,49.296398,-117.632004
YCH,CYCH,Miramichi Airport,Miramichi,CA,47.007801,-65.449203
YCL,CYCL,Charlo Airport,Charlo,CA,47.990799,-66.330299
YCN,CYCN,Cochrane Airport,Cochrane,CA,49.105598,-81.013603
,CYCP,Blue River Airport,Blue River,CA,52.116699,-119.282997
YCQ,CYCQ,Chetwynd Airport,Chetwynd,CA,55.687199,-121.626999
YDA,CYDA,Dawson City Airport,Dawson City,CA,64.043098,-139.128006
YDB,CYDB,Burwash Airport,Burwash Landing,CA,61.371101,-139.041000
YDF,CYDF,Deer Lake Airport,Deer Lake,CA,49.208159,-57.396147
XRR,CYDM,Ross River Airport,Ross River,CA,61.970600,-132.423004
YDN,CYDN,Dauphin Barker Airport,Dauphin,CA,51.100800,-100.052002
YDO,CYDO,Dolbeau-Saint-Felicien Airport,Dolbeau-Saint-Felicien,CA,48.778500,-72.375000
YDQ,CYDQ,Dawson Creek Airport,Dawson Creek,CA,55.741245,-120.183263
,CYEE,Huronia Airport,Midland,CA,44.683300,-79.928299
YEG,CYEG,Edmonton International Airport,Edmonton,CA,53.309700,-113.580002
YEL,CYEL,Elliot Lake Municipal Airport,Elliot Lake,CA,46.351398,-82.561401
YEM,CYEM,Manitoulin East Municipal Airport,Sheguiandah,CA,45.842435,-81.857595
YEN,CYEN,Estevan Airport,Estevan,CA,49.210300,-102.966003
YET,CYET,Edson Airport,Edson,CA,53.578899,-116.464996
YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,CA,68.304199,-133.483002
YEY,CYEY,Amos/Magny Airport,Amos,CA,48.563903,-78.249702
YFB,CYFB,Iqaluit Airport,Iqaluit,CA,63.756402,-68.555801
YFC,CYFC,Fredericton International Airport,Fredericton,CA,45.868697,-66.529891
,CYFD,Brantford Municipal Airport,Brantford,CA,43.131401,-80.342499
YFE,CYFE,Forestville Airport,Forestville,CA,48.746101,-69.097198
YTM,CYFJ,Mont-Tremblant International Airport,La Macaza,CA,46.409401,-74.779999
YFR,CYFR,Fort Resolution Airport,Fort Resolution,CA,61.180801,-113.690002
YFS,CYFS,Fort Simpson Airport,Fort Simpson,CA,61.760201,-121.237000
,CYGD,Goderich Airport,Goderich,CA,43.766899,-81.710602
,CYGE,Golden Airport,Golden,CA,51.299196,-116.982002
YGK,CYGK,Kingston Norman Rogers Airport,Kingston,CA,44.225300,-76.596901
YGL,CYGL,La Grande Rivière Airport,La Grande Rivière,CA,53.625301,-77.704201
YGM,CYGM,Gimli Industrial Park Airport,Gimli,CA,50.628101,-97.043297
YGP,CYGP,Michel-Pouliot Gaspé Airport,Gaspé,CA,48.774915,-64.481893
YGQ,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,CA,49.778301,-86.939400
YGR,CYGR,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine,CA,47.425242,-61.778612
YGV,CYGV,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,50.281898,-63.611401
YGW,CYGW,Kuujjuarapik Airport,Kuujjuarapik,CA,55.281898,-77.765297
YHD,CYHD,Dryden Regional Airport,Dryden,CA,49.831699,-92.744202
YHF,CYHF,Hearst René Fontaine Municipal Airport,Hearst,CA,49.714199,-83.686096
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,CA,43.173480,-79.931185
YHN,CYHN,Hornepayne Municipal Airport,Hornepayne,CA,49.193100,-84.758904
YHT,CYHT,Haines Junction Airport,Haines Junction,CA,60.789200,-137.546005
YHU,CYHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,45.517502,-73.416901
YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,CA,60.839699,-115.782997
YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,CA,44.880798,-63.508598
YIB,CYIB,Atikokan Municipal Airport,Atikokan,CA,48.773899,-91.638603
YDG,CYID,Digby / Annapolis Regional Airport,Digby,CA,44.545845,-65.785425
YIF,CYIF,St Augustin Airport,St-Augustin,CA,51.211700,-58.658298
YIV,CYIV,Island Lake Airport,Island Lake,CA,53.857201,-94.653603
YJF,CYJF,Fort Liard Airport,Fort Liard,CA,60.235802,-123.469002
YJN,CYJN,St Jean Airport,St Jean,CA,45.294399,-73.281097
YJT,CYJT,Stephenville Dymond International Airport,Stephenville,CA,48.543390,-58.552892
YKA,CYKA,Kamloops John Moose Fulton Field Regional Airport,Kamloops,CA,50.703038,-120.448641
YKF,CYKF,Region of Waterloo International Airport,Breslau,CA,43.460800,-80.378601
YKJ,CYKJ,Key Lake Airport,Key Lake,CA,57.256100,-105.617996
YKL,CYKL,Schefferville Airport,Schefferville,CA,54.805302,-66.805298
YKD,CYKM,Kincardine Municipal Airport,Kincardine,CA,44.201401,-81.606697
YKX,CYKX,Kirkland Lake Airport,Kirkland Lake,CA,48.210300,-79.981400
YKY,CYKY,Kindersley Airport,Kindersley,CA,51.517502,-109.181000
YLD,CYLD,Chapleau Airport,Chapleau,CA,47.820000,-83.346703
YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,CA,54.125301,-108.523003
YLL,CYLL,Lloydminster Airport,Lloydminster,CA,53.309200,-110.072998
YLR,CYLR,Leaf Rapids Airport,Leaf Rapids,CA,56.513302,-99.985298
YLK,CYLS,Barrie-Lake Simcoe Regional Airport,Barrie,CA,44.485056,-79.554663
YLT,CYLT,Alert Airport,Alert,CA,82.517263,-62.283037
YLW,CYLW,Kelowna International Airport,Kelowna,CA,49.956100,-119.377998
YMA,CYMA,Mayo Airport,Mayo,CA,63.616402,-135.867996
YME,CYME,Matane Airport,Matane,CA,48.856899,-67.453300
YMG,CYMG,Manitouwadge Airport,Manitouwadge,CA,49.083900,-85.860603
YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,50.330299,-105.558998
YML,CYML,Charlevoix Airport,Charlevoix,CA,47.597500,-70.223900
YMM,CYMM,Fort McMurray International Airport,Fort McMurray,CA,56.653301,-111.222000
YMO,CYMO,Moosonee Airport,Moosonee,CA,51.291100,-80.607803
YMT,CYMT,Chapais Airport,Chibougamau,CA,49.771900,-74.528099
YMX,CYMX,Montreal Mirabel International Airport,Montréal,CA,45.679501,-74.038696
YNA,CYNA,Natashquan Airport,Natashquan,CA,50.190114,-61.788980
YND,CYND,Ottawa / Gatineau Airport,Gatineau,CA,45.521702,-75.563599
YLY,CYNJ,Langley Airport,Langley,CA,49.100800,-122.630997
YNL,CYNL,Points North Landing Airport,Points North Landing,CA,58.276699,-104.082001
YNM,CYNM,Matagami Airport,Matagami,CA,49.761700,-77.802803
,CYNN,Nejanilini Lake Airport,Nejanilini Lake,CA,59.487499,-97.780296
YOA,CYOA,Ekati Airport,Ekati,CA,64.698898,-110.614998
YOD,CYOD,CFB Cold Lake,Cold Lake,CA,54.404999,-110.278999
YOJ,CYOJ,High Level Airport,High Level,CA,58.621399,-117.165001
YOO,CYOO,Oshawa Executive Airport,Oshawa,CA,43.922798,-78.894997
YOP,CYOP,Rainbow Lake Airport,Rainbow Lake,CA,58.491402,-119.407997
YOS,CYOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,CA,44.590302,-80.837502
YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,45.322498,-75.669197
YPA,CYPA,Prince Albert Glass Field,Prince Albert,CA,53.214199,-105.672997
YPS,CYPD,Port Hawkesbury Airport,Port Hawkesbury,CA,45.656700,-61.368099
YPE,CYPE,Peace River Airport,Peace River,CA,56.226898,-117.446999
YPG,CYPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,49.903099,-98.273817
,CYPK,Pitt Meadows Regional Airport,Pitt Meadows,CA,49.214880,-122.709294
YPL,CYPL,Pickle Lake Airport,Pickle Lake,CA,51.446400,-90.214203
YPN,CYPN,Port-Menier Airport,Port-Menier,CA,49.836399,-64.288597
YPQ,CYPQ,Peterborough Regional Airport,Peterborough,CA,44.232251,-78.362053
YPR,CYPR,Prince Rupert Airport,Prince Rupert,CA,54.286098,-130.445007
YPW,CYPW,Powell River Airport,Powell River,CA,49.834202,-124.500000
YPX,CYPX,Puvirnituq Airport,Puvirnituq,CA,60.050598,-77.286903
YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,CA,58.767200,-111.116997
YPZ,CYPZ,Burns Lake Airport,Burns Lake,CA,54.376400,-125.950996
YQA,CYQA,Muskoka Airport,Gravenhurst,CA,44.975376,-79.306546
YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,CA,46.791100,-71.393303
YQD,CYQD,The Pas Airport,The Pas,CA,53.971401,-101.091003
YQF,CYQF,Red Deer Regional Airport,Springbrook,CA,52.182201,-113.893997
YQG,CYQG,Windsor International Airport,Windsor,CA,42.275600,-82.955597
YQH,CYQH,Watson Lake Airport,Watson Lake,CA,60.116839,-128.821993
YQI,CYQI,Yarmouth Airport,Yarmouth,CA,43.826900,-66.088097
YQK,CYQK,Kenora Airport,Kenora,CA,49.788300,-94.363098
YQL,CYQL,Lethbridge County Airport,Lethbridge,CA,49.630299,-112.800003
YQM,CYQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,46.113189,-64.677190
YQN,CYQN,Nakina Airport,Nakina,CA,50.182800,-86.696404
YQQ,CYQQ,Comox Valley International Airport / CFB Comox,Comox,CA,49.710800,-124.887001
YQR,CYQR,Regina International Airport,Regina,CA,50.431938,-104.660906
YQS,CYQS,St Thomas Municipal Airport,St Thomas,CA,42.770000,-81.110802
YQT,CYQT,Thunder Bay International Airport,Thunder Bay,CA,48.371899,-89.323898
YQU,CYQU,Grande Prairie Airport,Grande Prairie,CA,55.179699,-118.885002
YQV,CYQV,Yorkton Municipal Airport,Yorkton,CA,51.264702,-102.461998
YQW,CYQW,North Battleford Airport,North Battleford,CA,52.769409,-108.243742
YQX,CYQX,Gander International Airport,Gander,CA,48.936258,-54.567719
YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,46.161072,-60.049759
YQZ,CYQZ,Quesnel Airport,Quesnel,CA,53.026100,-122.510002
YRB,CYRB,Resolute Bay Airport,Resolute Bay,CA,74.716904,-94.969398
YRI,CYRI,Rivière-du-Loup Airport,Rivière-du-Loup,CA,47.764400,-69.584702
YRJ,CYRJ,Roberval Airport,Roberval,CA,48.519665,-72.265735
